"id","Rk.pass","QBrec","Cmp","Att.pass","Cmp.","Yds.pass","TD.pass","TD.","Int","Int.","Lng.pass","Y.A.pass","AY.A","Y.C","Y.G.pass","Rate","QBR","Sk","Yds.1.pass","NY.A","ANY.A","Sk.","X4QC","GWD","Rk.rush","Att.rush","Yds.rush","TD.rush","Lng.rush","Y.A.rush","Y.G.rush","A.G","Rec.rush","Yds.1.rush","Y.R.rush","TD.1","Lng.1","R.G.rush","Y.G.1","YScm","RRTD","Fmb.rush","Rk.rec","Rec.rec","Yds.rec","Y.R.rec","TD.rec","Lng.rec","R.G.rec","Y.G.rec","Fmb.rec"
"ClayCh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"167","7","15","1","13","2.1","0.9","0.4","69","759","11.0","6","67","4.3","47.4","774","7","0","38","69","759","11.0","6","67","4.3","47.4","0"
"ClemKe00","35","4-5-0","142","242","58.7","1673","8","3.3","7","2.9","81","6.9","6.3","11.8","167.3","78.8","38.2","21","138","5.84","5.25","8.0","","","118","23","64","0","16","2.8","6.4","2.3","","","","","","","","64","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ClutTy00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"420","1","4","4.0","0","4","0.1","0.5","1"
"CobbRa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"192","4","78","0","67","19.5","13.0","0.7","31","433","14.0","4","48","5.2","72.2","511","4","0","147","31","433","14.0","4","48","5.2","72.2","0"
"ColeDe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230","2","3","0","4","1.5","0.3","0.2","8","62","7.8","1","12","0.7","5.2","65","1","1","279","8","62","7.8","1","12","0.7","5.2","1"
"CollAu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"307","6","63","10.5","0","19","0.9","9.0","0"
"CollJe01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135","15","45","1","12","3.0","2.8","0.9","14","54","3.9","0","8","0.9","3.4","99","1","0","224","14","54","3.9","0","8","0.9","3.4","0"
"ColsMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","75","943","12.6","5","35","5.0","62.9","0"
"ConeKe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"421","1","12","12.0","0","12","0.1","0.8","0"
"ConnJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"308","6","31","5.2","0","12","0.5","2.4","0"
"CookJa02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","51","671","13.2","5","47","3.2","41.9","1"
"CoopJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"266","9","60","6.7","0","16","1.8","12.0","0"
"CoopRi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","47","835","17.8","8","63","2.9","52.2","0"
"CotcJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272","1","-5","0","-5","-5.0","-0.3","0.1","46","602","13.1","10","36","2.9","37.6","597","10","0","88","46","602","13.1","10","36","2.9","37.6","0"
"CousKi00","42","0-3-0","81","155","52.3","854","4","2.6","7","4.5","62","5.5","4.0","10.5","170.8","58.4","41.81","5","32","5.14","3.67","3.1","","","193","4","14","0","6","3.5","2.8","0.8","","","","","","","","14","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CoxxMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","22","43","0","9","2.0","3.1","1.6","3","12","4.0","0","11","0.2","0.9","55","0","0","364","3","12","4.0","0","11","0.2","0.9","0"
"CrabMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","19","284","14.9","1","60","3.8","56.8","1"
"CrabTo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"341","4","21","5.3","1","14","0.6","3.0","0"
"CribJo01","62","","2","3","66.7","38","0","0.0","0","0.0","25","12.7","12.7","19.0","6.3","109.7","","0","0","12.67","12.67","0.0","","","140","13","55","0","9","4.2","9.2","2.2","2","6","3.0","0","5","0.3","1.0","61","0","0","381","2","6","3.0","0","5","0.3","1.0","0"
"CrinJu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"365","3","32","10.7","0","20","3.0","32.0","0"
"CruzVi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","73","998","13.7","4","70","5.2","71.3","1"
"CumbJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","26","398","15.3","4","47","1.7","26.5","0"
"CunnBe01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","47","261","1","56","5.6","18.6","3.4","6","59","9.8","0","18","0.4","4.2","320","1","2","309","6","59","9.8","0","18","0.4","4.2","2"
"CunnJu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"422","1","4","4.0","0","4","0.5","2.0","0"
"CutlJa00","24","5-6-0","224","355","63.1","2621","19","5.4","12","3.4","67","7.4","6.9","11.7","238.3","89.2","66.44","19","132","6.66","6.23","5.1","3","3","119","23","118","0","18","5.1","10.7","2.1","","","","","","","","118","0","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DaltAn00","8","11-5-0","363","586","61.9","4293","33","5.6","20","3.4","82","7.3","6.9","11.8","268.3","88.8","55.83","29","182","6.68","6.29","4.7","0","3","69","61","183","2","12","3.0","11.4","3.8","","","","","","","","183","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DaniCh00","51","0-1-0","25","38","65.8","248","1","2.6","1","2.6","48","6.5","5.9","9.9","49.6","81.9","78.71","2","11","5.93","5.30","5.0","","","137","14","52","0","29","3.7","10.4","2.8","","","","","","","","52","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DaniOw00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"176","24","252","10.5","3","28","4.8","50.4","0"
"DaviDo02","59","","5","7","71.4","34","0","0.0","0","0.0","14","4.9","4.9","6.8","3.1","81.8","84.54","0","0","4.86","4.86","0.0","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DaviDr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238","12","216","18.0","2","59","0.9","15.4","0"
"DaviFr01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"295","7","70","10.0","1","23","0.7","7.0","0"
"DaviKe01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"366","3","32","10.7","1","23","0.2","2.1","0"
"DaviKn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","70","242","4","20","3.5","15.1","4.4","11","75","6.8","0","17","0.7","4.7","317","4","3","250","11","75","6.8","0","17","0.7","4.7","3"
"DaviVe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","52","850","16.3","13","64","3.5","56.7","1"
"DawsSk00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231","2","15","0","14","7.5","2.1","0.3","2","12","6.0","0","9","0.3","1.7","27","0","1","382","2","12","6.0","0","9","0.3","1.7","1"
"DeckEr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","87","1288","14.8","11","61","5.4","80.5","2"
"DempJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"273","1","14","0","14","14.0","7.0","0.5","3","21","7.0","0","10","1.5","10.5","35","0","0","367","3","21","7.0","0","10","1.5","10.5","0"
"DeveJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194","4","10","1","4","2.5","0.6","0.3","4","62","15.5","0","31","0.3","3.9","72","1","0","342","4","62","15.5","0","31","0.3","3.9","0"
"DickDo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"383","2","34","17.0","0","26","0.4","6.8","0"
"DickEd00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170","25","273","10.9","1","43","1.6","17.1","0"
"DiMaPa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"280","8","49","6.1","0","12","0.6","3.5","0"
"DixoAn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","28","56","2","9","2.0","3.5","1.8","3","30","10.0","0","19","0.2","1.9","86","2","0","368","3","30","10.0","0","19","0.2","1.9","0"
"DobsAa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","37","519","14.0","4","81","3.1","43.3","1"
"DonnLa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"369","3","31","10.3","0","11","0.2","1.9","0"
"DossTa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"201","19","305","16.1","0","63","1.3","20.3","1"
"DougHa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","85","1067","12.6","2","80","5.3","66.7","3"
"DoylJa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"328","5","19","3.8","0","8","0.4","1.4","0"
"DrauSh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"195","4","2","0","3","0.5","0.7","1.3","","","","","","","","2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrayJi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"163","26","215","8.3","2","18","1.6","13.4","1"
"DreeJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"296","7","47","6.7","1","14","0.5","3.6","0"
"DrewMa00","70","","1","1","100.0","8","1","100.0","0","0.0","8","8.0","28.0","8.0","0.5","139.6","100","0","0","8.00","28.00","0.0","","","14","234","803","5","48","3.4","53.5","15.6","43","314","7.3","0","17","2.9","20.9","1117","5","1","95","43","314","7.3","0","17","2.9","20.9","1"
"DunbLa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","30","150","0","45","5.0","16.7","3.3","7","59","8.4","0","17","0.8","6.6","209","0","1","297","7","59","8.4","0","17","0.8","6.6","1"
"DurhKr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","38","490","12.9","2","40","2.4","30.6","1"
"DwyeJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","49","197","0","30","4.0","13.1","3.3","8","64","8.0","0","23","0.5","4.3","261","0","0","281","8","64","8.0","0","23","0.5","4.3","0"
"EaslMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"384","2","13","6.5","0","9","0.1","0.8","0"
"EberJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"370","3","18","6.0","0","8","0.5","3.0","0"
"EdelJu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"232","2","11","0","7","5.5","0.7","0.1","105","1056","10.1","6","44","6.6","66.0","1067","6","6","4","105","1056","10.1","6","44","6.6","66.0","6"
"EdwaAr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"274","1","0","0","0","0.0","0.0","0.2","1","10","10.0","0","10","0.2","1.7","10","0","0","423","1","10","10.0","0","10","0.2","1.7","0"
"EdwaPa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"329","5","46","9.2","0","11","1.3","11.5","0"
"EgneMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"298","7","69","9.9","0","14","0.5","4.6","0"
"EifeTy00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","39","445","11.4","2","61","2.6","29.7","0"
"ElliAn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","118","652","3","80","5.5","43.5","7.9","39","371","9.5","1","38","2.6","24.7","1023","4","1","113","39","371","9.5","1","38","2.6","24.7","1"
"ElliRh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"330","5","61","12.2","1","17","0.5","5.5","0"
"ErtzZa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","36","469","13.0","4","38","2.3","29.3","0"
"EscoGa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"267","9","134","14.9","2","25","0.6","8.4","0"
"EwinBr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"385","2","29","14.5","0","15","1.0","14.5","0"
"FasaAn00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181","23","200","8.7","3","20","2.6","22.2","0"
"FaurJo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"204","18","207","11.5","7","25","1.1","12.9","0"
"FeltJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310","6","37","6.2","0","11","0.5","2.8","0"
"FiamTo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"343","4","57","14.3","0","30","0.3","3.6","0"
"FielBr20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"275","1","0","0","0","0.0","0.0","0.1","","","","","","","","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FinlJe00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171","25","300","12.0","3","52","4.2","50.0","0"
"FitzLa00","67","","0","1","0.0","0","0","0.0","0","0.0","0","0.0","0.0","","0.0","39.6","0.91","0","0","0.00","0.00","0.0","","","233","2","8","0","4","4.0","0.5","0.1","82","954","11.6","10","75","5.1","59.6","962","10","1","19","82","954","11.6","10","75","5.1","59.6","1"
"FitzRy00","25","3-6-0","217","350","62.0","2454","14","4.0","12","3.4","77","7.0","6.3","11.3","223.1","82.0","58.46","21","109","6.32","5.62","5.7","2","2","94","43","225","3","26","5.2","20.5","3.9","1","0","0.0","0","0","0.1","0.0","225","3","9","424","1","0","0.0","0","0","0.1","0.0","9"
"FlacJo00","6","8-8-0","362","614","59.0","3912","19","3.1","22","3.6","74","6.4","5.4","10.8","244.5","73.1","46.7","48","324","5.42","4.50","7.3","2","4","111","27","131","1","22","4.9","8.2","1.7","","","","","","","","131","1","8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FleeCo00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","52","608","11.7","4","44","3.3","38.0","1"
"FloyMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"311","6","149","24.8","0","47","3.0","74.5","0"
"FloyMi00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","65","1041","16.0","5","91","4.1","65.1","0"
"FlynMa00","39","2-3-0","124","200","62.0","1392","8","4.0","5","2.5","56","7.0","6.6","11.2","154.7","85.7","58.32","24","135","5.61","5.32","10.7","0","0","122","20","65","0","17","3.3","7.2","2.2","","","","","","","","65","0","7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FoleNi00","27","8-2-0","203","317","64.0","2891","27","8.5","2","0.6","63","9.1","10.5","14.2","222.4","119.2","69.04","28","173","7.88","9.18","8.1","1","1","72","57","221","3","21","3.9","17.0","4.4","","","","","","","","221","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FordCh00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"251","11","133","12.1","0","37","1.2","14.8","0"
"FordJa01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"183","5","15","0","4","3.0","1.1","0.4","13","99","7.6","0","22","0.9","7.1","114","0","4","229","13","99","7.6","0","22","0.9","7.1","4"
"ForsJu00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"174","6","31","0","10","5.2","3.4","0.7","15","82","5.5","0","14","1.7","9.1","113","0","1","218","15","82","5.5","0","14","1.7","9.1","1"
"FortMa00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","289","1339","9","55","4.6","83.7","18.1","74","594","8.0","3","34","4.6","37.1","1933","12","2","29","74","594","8.0","3","34","4.6","37.1","2"
"FostAr00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","121","542","1","23","4.5","67.8","15.1","22","183","8.3","1","41","2.8","22.9","725","2","0","184","22","183","8.3","1","41","2.8","22.9","0"
"FranJo01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","19","107","1","51","5.6","9.7","1.7","4","30","7.5","0","10","0.4","2.7","137","1","2","344","4","30","7.5","0","10","0.4","2.7","2"
"FreeJo00","43","0-4-0","63","147","42.9","761","2","1.4","4","2.7","39","5.2","4.2","12.1","190.3","52.6","37.86","8","61","4.52","3.61","5.2","0","0","184","5","20","0","13","4.0","5.0","1.3","","","","","","","","20","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
