"team","year","league","w","l","t","playoffs","pts.for","pts.ag","pt.dif","coach","o.pt.rnk","o.yd.rnk","d.pt.rnk","d.yd.rnk","pt.dif.rnk","yd.dif.rnk","n.teams","w.pct","pt.dif.gm","pt.dif.qnt","pt.dif.zs"
"dal",2012,"NFL",8,8,0,"",376,400,-24,"Garrett",15,6,24,19,19,10,32,0.5,-1.5,0.419354838709677,-0.215511786165337
"dal",2011,"NFL",8,8,0,"",369,347,22,"Garrett",15,11,16,14,12,8,32,0.5,1.375,0.645161290322581,0.19962939841159
"dal",2010,"NFL",6,10,0,"",394,436,-42,"Garrett,Phillips",7,7,31,23,21,12,32,0.375,-2.625,0.354838709677419,-0.433076558544885
"dal",2009,"NFL",11,5,0,"Lost Div",361,250,111,"Phillips",14,2,2,9,8,2,32,0.6875,6.9375,0.774193548387097,0.930363381603126
"dal",2008,"NFL",9,7,0,"",362,365,-3,"Phillips",18,13,20,8,19,7,32,0.5625,-0.1875,0.419354838709677,-0.0279813455691711
"dal",2007,"NFL",13,3,0,"Lost Div",455,325,130,"Phillips",2,3,13,9,4,4,32,0.8125,8.125,0.903225806451613,1.11764206142259
"dal",2006,"NFL",9,7,0,"Lost WC",425,350,75,"Parcells",4,5,20,13,7,9,32,0.5625,4.6875,0.806451612903226,0.810553775436661
"dal",2005,"NFL",9,7,0,"",325,308,17,"Parcells",15,13,12,10,15,13,32,0.5625,1.0625,0.548387096774194,0.160585419482177
"dal",2004,"NFL",6,10,0,"",293,405,-112,"Parcells",25,14,27,16,29,16,32,0.375,-7,0.0967741935483871,-1.22547937571687
"dal",2003,"NFL",10,6,0,"Lost WC",289,260,29,"Parcells",21,15,2,1,15,2,32,0.625,1.8125,0.548387096774194,0.294065333232423
"dal",2002,"NFL",5,11,0,"",217,329,-112,"Campo",31,30,13,18,28,28,32,0.3125,-7,0.129032258064516,-1.26230645266366
"dal",2001,"NFL",5,11,0,"",246,338,-92,"Campo",30,29,20,4,27,19,31,0.3125,-5.75,0.133333333333333,-0.938088767509718
"dal",2000,"NFL",5,11,0,"",294,361,-67,"Campo",23,25,22,19,24,25,31,0.3125,-4.1875,0.233333333333333,-0.574074400071963
"dal",1999,"NFL",8,8,0,"Lost WC",352,276,76,"Gailey",11,16,5,9,5,9,31,0.5,4.75,0.866666666666667,0.70977839351159
"dal",1998,"NFL",10,6,0,"Lost WC",381,275,106,"Gailey",9,8,3,18,6,11,30,0.625,6.625,0.827586206896552,0.952096102683004
"dal",1997,"NFL",6,10,0,"",304,314,-10,"Switzer",22,20,13,2,17,8,30,0.375,-0.625,0.448275862068966,-0.11288438226139
"dal",1996,"NFL",10,6,0,"Lost Div",286,250,36,"Switzer",25,24,3,3,10,10,30,0.625,2.25,0.689655172413793,0.38168945690655
"dal",1995,"NFL",12,4,0,"Won SB",435,291,144,"Switzer",3,5,3,9,2,4,30,0.75,9,0.96551724137931,1.69861079202026
"dal",1994,"NFL",12,4,0,"Lost Conf",414,248,166,"Switzer",2,8,3,1,2,3,28,0.75,10.375,0.962962962962963,1.95172594694176
"dal",1993,"NFL",12,4,0,"Won SB",376,229,147,"Johnson",2,4,2,10,2,2,28,0.75,9.1875,0.962962962962963,1.62902624171405
"dal",1992,"NFL",13,3,0,"Won SB",409,243,166,"Johnson",2,4,5,1,2,1,28,0.8125,10.375,0.962962962962963,1.63409609187138
"dal",1991,"NFL",11,5,0,"Lost Div",342,310,32,"Johnson",7,9,17,17,10,13,28,0.6875,2,0.666666666666667,0.284706489801776
"dal",1990,"NFL",7,9,0,"",244,308,-64,"Johnson",26,28,15,10,21,20,28,0.4375,-4,0.259259259259259,-0.612819363000401
"dal",1989,"NFL",1,15,0,"",204,393,-189,"Johnson",28,27,24,20,28,26,28,0.0625,-11.8125,0,-1.91863067196163
"dal",1988,"NFL",3,13,0,"",265,381,-116,"Landry",21,9,25,20,28,11,28,0.1875,-7.25,0,-1.46915240293893
"dal",1987,"NFL",7,8,0,"",340,348,-8,"Landry",11,11,18,20,15,13,28,0.466666666666667,-0.533333333333333,0.481481481481482,-0.0883248773637339
"dal",1986,"NFL",7,9,0,"",346,337,9,"Landry",14,6,18,10,14,7,28,0.4375,0.5625,0.518518518518519,0.0920578185125191
"dal",1985,"NFL",10,6,0,"Lost Div",357,333,24,"Landry",11,8,14,20,12,15,28,0.625,1.5,0.592592592592593,0.231121684028062
"dal",1984,"NFL",9,7,0,"",308,308,0,"Landry",18,11,9,7,13,8,28,0.5625,0,0.555555555555556,0
"dal",1983,"NFL",12,4,0,"Lost WC",479,360,119,"Landry",2,5,20,17,4,6,28,0.75,7.4375,0.888888888888889,1.35156186525269
"dal",1982,"NFL",6,3,0,"Lost Conf",226,145,81,"Landry",5,5,3,11,1,5,28,0.666666666666667,9,1,1.47872311989839
"dal",1981,"NFL",12,4,0,"Lost Conf",367,277,90,"Landry",6,5,7,20,4,11,28,0.75,5.625,0.888888888888889,0.943975163291329
"dal",1980,"NFL",12,4,0,"Lost Conf",454,311,143,"Landry",1,9,13,17,2,10,28,0.75,8.9375,0.962962962962963,1.46003412691126
"dal",1979,"NFL",11,5,0,"Lost Div",371,313,58,"Landry",5,2,12,8,5,2,28,0.6875,3.625,0.851851851851852,0.753399723749836
"dal",1978,"NFL",12,4,0,"Lost SB",384,208,176,"Landry",1,2,3,2,1,1,28,0.75,11,1,2.27826191922459
"dal",1977,"NFL",12,2,0,"Won SB",345,212,133,"Landry",2,1,8,1,2,1,28,0.857142857142857,9.5,0.962962962962963,1.50942295148681
"dal",1976,"NFL",11,3,0,"Lost Div",296,194,102,"Landry",10,4,5,7,9,4,28,0.785714285714286,7.28571428571429,0.703703703703704,0.78993238700068
"dal",1975,"NFL",10,4,0,"Lost SB",350,268,82,"Landry",8,3,9,5,8,3,26,0.714285714285714,5.85714285714286,0.72,0.660147559667599
"dal",1974,"NFL",8,6,0,"",297,235,62,"Landry",8,1,10,4,8,1,26,0.571428571428571,4.42857142857143,0.72,0.706680401353119
"dal",1973,"NFL",10,4,0,"Lost Conf",382,203,179,"Landry",2,4,7,5,3,3,26,0.714285714285714,12.7857142857143,0.92,1.42105746967882
"dal",1972,"NFL",10,4,0,"Lost Conf",319,240,79,"Landry",10,6,6,6,7,4,26,0.714285714285714,5.64285714285714,0.76,0.661527401312293
"dal",1971,"NFL",11,3,0,"Won SB",406,222,184,"Landry",1,1,7,3,1,1,26,0.785714285714286,13.1428571428571,1,1.85939421911598
"dal",1970,"NFL",10,4,0,"Lost SB",299,221,78,"Landry",10,4,4,4,7,2,26,0.714285714285714,5.57142857142857,0.76,0.778438461782209
"dal",1969,"NFL",11,2,1,"Lost Div",369,223,146,"Landry",2,1,4,3,2,1,16,0.785714285714286,10.4285714285714,0.933333333333333,1.40121615970066
"dal",1968,"NFL",12,2,0,"Lost Div",431,186,245,"Landry",1,1,2,4,2,1,16,0.857142857142857,17.5,0.933333333333333,1.73592869648561
"dal",1967,"NFL",9,5,0,"Lost Conf",342,268,74,"Landry",6,5,6,7,4,4,16,0.642857142857143,5.28571428571429,0.8,0.60886277164163
"dal",1966,"NFL",10,3,1,"Lost Conf",445,239,206,"Landry",1,1,4,2,1,1,15,0.714285714285714,14.7142857142857,1,1.70116384926653
"dal",1965,"NFL",7,7,0,"",325,280,45,"Landry",7,10,3,6,4,8,14,0.5,3.21428571428571,0.769230769230769,0.540938027074958
"dal",1964,"NFL",5,8,1,"",250,289,-39,"Landry",12,14,4,2,9,6,14,0.357142857142857,-2.78571428571429,0.384615384615385,-0.393575284221587
"dal",1963,"NFL",4,10,0,"",305,378,-73,"Landry",9,9,10,13,9,12,14,0.285714285714286,-5.21428571428571,0.384615384615385,-0.617643649940142
"dal",1962,"NFL",5,8,1,"",398,402,-4,"Landry",2,2,13,13,7,9,14,0.357142857142857,-0.285714285714286,0.538461538461538,-0.0360631555188785
"dal",1961,"NFL",4,9,1,"",236,380,-144,"Landry",13,8,12,10,13,10,14,0.285714285714286,-10.2857142857143,0.0769230769230769,-1.10323120481384
"dal",1960,"NFL",0,11,1,"",177,369,-192,"Landry",13,12,13,13,13,12,13,0,-16,0,-2.18516451986136
"den",2013,"NFL",7,1,0,"",343,218,125,"Fox",1,1,25,24,1,3,32,0.875,15.625,1,1.86024555671494
"den",2012,"NFL",13,3,0,"Lost Div",481,289,192,"Fox",2,4,4,2,2,1,32,0.8125,12,0.967741935483871,1.72409428932269
"den",2011,"NFL",8,8,0,"Lost Div",309,390,-81,"Fox",25,23,24,20,25,27,32,0.5,-5.0625,0.225806451612903,-0.734999148697218
"den",2010,"NFL",4,12,0,"",344,471,-127,"McDaniels,Studesville",19,13,32,32,29,25,32,0.25,-7.9375,0.0967741935483871,-1.30954102226668
"den",2009,"NFL",8,8,0,"",326,324,2,"McDaniels",20,15,12,7,18,13,32,0.5,0.125,0.451612903225806,0.0167633041730293
"den",2008,"NFL",8,8,0,"",370,448,-78,"Shanahan",16,2,30,29,25,14,32,0.5,-4.875,0.225806451612903,-0.727514984798448
"den",2007,"NFL",7,9,0,"",320,409,-89,"Shanahan",21,11,28,19,23,15,32,0.4375,-5.5625,0.290322580645161,-0.765154949743157
"den",2006,"NFL",9,7,0,"",319,305,14,"Shanahan",17,21,8,14,14,20,32,0.5625,0.875,0.580645161290323,0.151303371414843
"den",2005,"NFL",13,3,0,"Lost Conf",395,258,137,"Shanahan",7,5,3,15,3,5,32,0.8125,8.5625,0.935483870967742,1.29412955700343
"den",2004,"NFL",10,6,0,"Lost WC",381,304,77,"Shanahan",9,5,9,4,7,1,32,0.625,4.8125,0.806451612903226,0.84251707080535
"den",2003,"NFL",10,6,0,"Lost WC",381,301,80,"Shanahan",10,7,9,4,9,1,32,0.625,5,0.741935483870968,0.811214712365306
"den",2002,"NFL",9,7,0,"",392,344,48,"Shanahan",7,3,15,6,8,1,32,0.5625,3,0.774193548387097,0.540988479712997
"den",2001,"NFL",8,8,0,"",340,339,1,"Shanahan",10,22,21,8,15,14,31,0.5,0.0625,0.533333333333333,0.0101966170381491
"den",2000,"NFL",11,5,0,"Lost WC",485,369,116,"Shanahan",2,2,23,24,5,5,31,0.6875,7.25,0.866666666666667,0.99391985684101
"den",1999,"NFL",6,10,0,"",314,318,-4,"Shanahan",18,14,11,7,20,7,31,0.375,-0.25,0.366666666666667,-0.0373567575532416
"den",1998,"NFL",14,2,0,"Won SB",501,309,192,"Shanahan",2,3,8,11,2,3,30,0.875,12,0.96551724137931,1.72455143127487
"den",1997,"NFL",12,4,0,"Won SB",472,287,185,"Shanahan",1,1,6,5,1,1,30,0.75,11.5625,1,2.08836107183571
"den",1996,"NFL",13,3,0,"Lost Div",391,275,116,"Shanahan",4,1,7,4,4,2,30,0.8125,7.25,0.896551724137931,1.22988825003222
"den",1995,"NFL",8,8,0,"",388,345,43,"Shanahan",9,3,17,15,8,3,30,0.5,2.6875,0.758620689655172,0.507224055950495
"den",1994,"NFL",7,9,0,"",347,396,-49,"Phillips",10,6,25,28,20,19,28,0.4375,-3.0625,0.296296296296296,-0.576111875904496
"den",1993,"NFL",9,7,0,"Lost WC",373,284,89,"Phillips",3,5,10,19,4,9,28,0.5625,5.5625,0.888888888888889,0.986281193962927
"den",1992,"NFL",8,8,0,"",262,329,-67,"Reeves",22,21,19,22,19,24,28,0.5,-4.1875,0.333333333333333,-0.659544808164954
"den",1991,"NFL",12,4,0,"Lost Conf",304,235,69,"Reeves",12,12,3,5,7,8,28,0.75,4.3125,0.777777777777778,0.613898368635079
"den",1990,"NFL",5,11,0,"",331,374,-43,"Reeves",16,8,23,20,19,16,28,0.3125,-2.6875,0.333333333333333,-0.411738009515895
"den",1989,"NFL",11,5,0,"Lost SB",362,226,136,"Reeves",8,15,1,3,2,7,28,0.6875,8.5,0.962962962962963,1.38060196500943
"den",1988,"NFL",8,8,0,"",327,352,-25,"Reeves",15,8,20,22,15,12,28,0.5,-1.5625,0.481481481481482,-0.316627673047184
"den",1987,"NFL",10,4,1,"Lost SB",379,288,91,"Reeves",4,2,7,9,5,5,28,0.666666666666667,6.06666666666667,0.851851851851852,1.00469548001247
"den",1986,"NFL",11,5,0,"Lost SB",378,327,51,"Reeves",6,15,15,9,9,10,28,0.6875,3.1875,0.703703703703704,0.521660971570941
"den",1985,"NFL",11,5,0,"",380,329,51,"Reeves",8,10,13,13,8,9,28,0.6875,3.1875,0.740740740740741,0.491133578559631
"den",1984,"NFL",13,3,0,"Lost Div",353,241,112,"Reeves",11,22,2,25,5,24,28,0.8125,7,0.851851851851852,0.947294788867967
"den",1983,"NFL",9,7,0,"Lost WC",302,327,-25,"Reeves",21,26,9,21,19,24,28,0.5625,-1.5625,0.333333333333333,-0.283941568330397
"den",1982,"NFL",2,7,0,"",148,226,-78,"Reeves",20,15,25,24,26,24,28,0.222222222222222,-8.66666666666667,0.0740740740740741,-1.4239555969392
"den",1981,"NFL",10,6,0,"",321,289,32,"Reeves",17,14,9,6,15,7,28,0.625,2,0.481481481481482,0.335635613614695
"den",1980,"NFL",8,8,0,"",310,323,-13,"Miller",16,25,16,15,15,21,28,0.5,-0.8125,0.481481481481482,-0.132730375173751
"den",1979,"NFL",10,6,0,"Lost WC",289,262,27,"Miller",20,12,5,10,12,8,28,0.625,1.6875,0.592592592592593,0.350720561055958
"den",1978,"NFL",10,6,0,"Lost Div",282,198,84,"Miller",15,14,2,6,4,6,28,0.625,5.25,0.888888888888889,1.08735227962992
"den",1977,"NFL",12,2,0,"Lost SB",274,148,126,"Miller",10,17,3,9,3,13,28,0.857142857142857,9,0.925925925925926,1.42997963825066
"den",1976,"NFL",9,5,0,"",315,206,109,"Ralston",7,16,6,8,8,13,28,0.642857142857143,7.78571428571429,0.740740740740741,0.844143433167393
"den",1975,"NFL",6,8,0,"",254,307,-53,"Ralston",17,10,18,9,16,8,26,0.428571428571429,-3.78571428571429,0.4,-0.426680739785156
"den",1974,"NFL",7,6,1,"",302,294,8,"Ralston",7,5,22,21,13,11,26,0.5,0.571428571428571,0.52,0.0911845679165316
"den",1973,"NFL",7,5,2,"",354,296,58,"Ralston",3,6,15,19,9,9,26,0.5,4.14285714285714,0.68,0.46045437565012
"den",1972,"NFL",5,9,0,"",325,350,-25,"Ralston",9,5,21,9,18,6,26,0.357142857142857,-1.78571428571429,0.32,-0.209344114339333
"den",1971,"NFL",4,9,1,"",203,275,-72,"Smith,Saban",24,11,11,10,18,9,26,0.285714285714286,-5.14285714285714,0.32,-0.727589042262775
"den",1970,"NFL",5,8,1,"",253,264,-11,"Saban",18,18,12,7,16,11,26,0.357142857142857,-0.785714285714286,0.4,-0.10977978307185
"den",1969,"AFL",5,8,1,"",297,344,-47,"Saban",4,6,8,8,6,7,10,0.357142857142857,-3.35714285714286,0.444444444444444,-0.45107643497213
"den",1968,"AFL",5,9,0,"",255,404,-149,"Saban",7,7,9,10,8,7,10,0.357142857142857,-10.6428571428571,0.222222222222222,-1.05572806439329
"den",1967,"AFL",3,11,0,"",256,409,-153,"Saban",7,9,9,9,8,9,9,0.214285714285714,-10.9285714285714,0.125,-1.25886491974553
"den",1966,"AFL",4,10,0,"",196,381,-185,"Malavasi,Speedie",9,9,8,6,9,9,9,0.285714285714286,-13.2142857142857,0,-1.52774423356461
"den",1965,"AFL",4,10,0,"",303,392,-89,"Speedie",4,2,7,7,7,3,8,0.285714285714286,-6.35714285714286,0.142857142857143,-1.06985520910381
"den",1964,"AFL",2,11,1,"",240,438,-198,"Speedie,Faulkner",8,8,8,7,8,8,8,0.142857142857143,-14.1428571428571,0,-1.99815144297114
"den",1963,"AFL",2,11,1,"",301,473,-172,"Faulkner",7,7,8,7,8,7,8,0.142857142857143,-12.2857142857143,0,-1.45526996972198
"den",1962,"AFL",7,7,0,"",353,334,19,"Faulkner",3,4,5,6,5,4,8,0.5,1.35714285714286,0.428571428571429,0.171299988714673
"den",1961,"AFL",3,11,0,"",251,432,-181,"Filchock",7,7,7,6,7,6,8,0.214285714285714,-12.9285714285714,0.142857142857143,-1.3867003338285
"den",1960,"AFL",4,9,1,"",309,393,-84,"Filchock",6,6,7,8,8,8,8,0.285714285714286,-6,0,-0.956009477439345
"det",2013,"NFL",5,3,0,"",217,197,20,"Schwartz",6,3,18,25,12,7,32,0.625,2.5,0.645161290322581,0.297639289074391
"det",2012,"NFL",4,12,0,"",372,437,-65,"Schwartz",17,3,27,13,23,2,32,0.25,-4.0625,0.290322580645161,-0.583677754197787
"det",2011,"NFL",10,6,0,"Lost WC",474,387,87,"Schwartz",4,5,23,23,8,9,32,0.625,5.4375,0.774193548387097,0.789443530082197
"det",2010,"NFL",6,10,0,"",362,369,-7,"Schwartz",15,17,19,21,17,20,32,0.375,-0.4375,0.483870967741935,-0.0721794264241475
"det",2009,"NFL",2,14,0,"",262,494,-232,"Schwartz",27,26,32,32,31,29,32,0.125,-14.5,0.032258064516129,-1.9445432840714
"det",2008,"NFL",0,16,0,"",268,517,-249,"Marinelli",27,30,32,32,32,32,32,0,-15.5625,0,-2.3224516822412
"det",2007,"NFL",7,9,0,"",346,444,-98,"Marinelli",16,19,32,32,24,29,32,0.4375,-6.125,0.258064516129032,-0.842530169380105
"det",2006,"NFL",3,13,0,"",305,398,-93,"Marinelli",21,22,30,28,27,24,32,0.1875,-5.8125,0.161290322580645,-1.00508668154146
"det",2005,"NFL",5,11,0,"",254,345,-91,"Mariucci,Jauron",28,27,21,20,25,28,32,0.3125,-5.6875,0.225806451612903,-0.859604304286949
"det",2004,"NFL",6,10,0,"",296,350,-54,"Mariucci",24,24,18,22,23,27,32,0.375,-3.375,0.290322580645161,-0.590856127577778
"det",2003,"NFL",5,11,0,"",270,379,-109,"Mariucci",26,32,25,24,26,29,32,0.3125,-6.8125,0.193548387096774,-1.10528004559773
"det",2002,"NFL",3,13,0,"",306,451,-145,"Mornhinweg",26,28,31,31,30,31,32,0.1875,-9.0625,0.0645161290322581,-1.63423603246635
"det",2001,"NFL",2,14,0,"",270,424,-154,"Mornhinweg",26,16,30,26,29,27,31,0.125,-9.625,0.0666666666666667,-1.57027902387496
"det",2000,"NFL",9,7,0,"",307,307,0,"Ross,Moeller",22,27,11,14,18,21,31,0.5625,0,0.433333333333333,0
"det",1999,"NFL",8,8,0,"Lost WC",322,323,-1,"Ross",15,21,14,18,17,25,31,0.5,-0.0625,0.466666666666667,-0.0093391893883104
"det",1998,"NFL",5,11,0,"",306,378,-72,"Ross",20,14,24,15,22,14,30,0.3125,-4.5,0.275862068965517,-0.646706786728078
"det",1997,"NFL",9,7,0,"Lost WC",379,306,73,"Ross",4,2,10,14,7,4,30,0.5625,4.5625,0.793103448275862,0.824055990508144
"det",1996,"NFL",5,11,0,"",302,368,-66,"Fontes",21,20,22,20,22,20,30,0.3125,-4.125,0.275862068965517,-0.699764004328676
"det",1995,"NFL",10,6,0,"Lost WC",436,336,100,"Fontes",2,1,14,23,4,7,30,0.625,6.25,0.896551724137931,1.17959082779185
"det",1994,"NFL",9,7,0,"Lost WC",357,342,15,"Fontes",6,15,19,24,11,18,28,0.5625,0.9375,0.62962962962963,0.176360778338111
"det",1993,"NFL",10,6,0,"Lost WC",298,292,6,"Fontes",16,24,15,6,13,16,28,0.625,0.375,0.555555555555556,0.0664908670087367
"det",1992,"NFL",5,11,0,"",273,332,-59,"Fontes",19,19,20,20,16,20,28,0.3125,-3.6875,0.444444444444444,-0.580793189279586
"det",1991,"NFL",12,4,0,"Lost Conf",339,295,44,"Fontes",9,17,11,15,8,18,28,0.75,2.75,0.740740740740741,0.391471423477442
"det",1990,"NFL",6,10,0,"",373,413,-40,"Fontes",5,14,26,28,18,23,28,0.375,-2.5,0.37037037037037,-0.383012101875251
"det",1989,"NFL",7,9,0,"",312,364,-52,"Fontes",19,18,19,18,20,20,28,0.4375,-3.25,0.296296296296296,-0.52787722191537
"det",1988,"NFL",4,12,0,"",220,313,-93,"Rogers,Fontes",28,28,10,18,26,28,28,0.25,-5.8125,0.0740740740740741,-1.17785494373552
"det",1987,"NFL",4,11,0,"",269,384,-115,"Rogers",25,26,26,24,26,26,28,0.266666666666667,-7.66666666666667,0.0740740740740741,-1.26967011210367
"det",1986,"NFL",5,11,0,"",277,326,-49,"Rogers",22,24,13,15,20,23,28,0.3125,-3.0625,0.296296296296296,-0.501203678568159
"det",1985,"NFL",7,9,0,"",307,366,-59,"Rogers",19,28,19,18,21,25,28,0.4375,-3.6875,0.259259259259259,-0.568174139902318
"det",1984,"NFL",4,11,1,"",283,408,-125,"Clark",21,12,23,17,24,16,28,0.25,-7.8125,0.148148148148148,-1.05724864829014
"det",1983,"NFL",9,7,0,"Lost Div",347,286,61,"Clark",15,18,2,11,6,17,28,0.5625,3.8125,0.814814814814815,0.692817426726168
"det",1982,"NFL",4,5,0,"Lost WC",181,176,5,"Clark",15,24,14,9,10,18,28,0.444444444444444,0.555555555555556,0.666666666666667,0.0912792049319997
"det",1981,"NFL",8,8,0,"",397,322,75,"Clark",4,3,13,4,6,2,28,0.5,4.6875,0.814814814814815,0.786645969409441
"det",1980,"NFL",9,7,0,"",334,272,62,"Clark",11,7,5,3,7,5,28,0.5625,3.875,0.777777777777778,0.633021789290196
"det",1979,"NFL",2,14,0,"",219,365,-146,"Clark",28,26,23,11,28,24,28,0.125,-9.125,0,-1.89648895978407
"det",1978,"NFL",7,9,0,"",290,300,-10,"Clark",13,21,19,7,11,14,28,0.4375,-0.625,0.62962962962963,-0.129446699955943
"det",1977,"NFL",6,8,0,"",183,252,-69,"Hudspeth",23,26,18,8,20,22,28,0.428571428571429,-4.92857142857143,0.296296296296296,-0.783084087613457
"det",1976,"NFL",6,8,0,"",262,220,42,"Hudspeth,Forzano",16,14,10,3,12,8,28,0.428571428571429,3,0.592592592592593,0.32526627700028
"det",1975,"NFL",7,7,0,"",245,262,-17,"Forzano",18,18,8,8,13,14,26,0.5,-1.21428571428571,0.52,-0.136859859931088
"det",1974,"NFL",7,7,0,"",256,270,-14,"Forzano",14,19,15,20,16,22,26,0.5,-1,0.4,-0.15957299385393
"det",1973,"NFL",6,7,1,"",271,247,24,"McCafferty",13,13,12,13,13,11,26,0.428571428571429,1.71428571428571,0.52,0.190532845096601
"det",1972,"NFL",8,5,1,"",339,290,49,"Schmidt",6,15,17,19,10,16,26,0.571428571428571,3.5,0.64,0.410314464105093
"det",1971,"NFL",7,6,1,"",341,286,55,"Schmidt",3,4,16,11,9,5,26,0.5,3.92857142857143,0.68,0.555797185061842
"det",1970,"NFL",10,4,0,"Lost Div",347,202,145,"Schmidt",2,13,2,2,2,6,26,0.714285714285714,10.3571428571429,0.96,1.44709714049257
"det",1969,"NFL",9,4,1,"",259,188,71,"Schmidt",14,16,2,2,4,4,16,0.642857142857143,5.07142857142857,0.8,0.681413337936623
"det",1968,"NFL",4,8,2,"",207,241,-34,"Schmidt",14,11,5,6,10,7,16,0.285714285714286,-2.42857142857143,0.4,-0.240904390532696
"det",1967,"NFL",5,7,2,"",260,259,1,"Schmidt",12,13,5,4,7,8,16,0.357142857142857,0.0714285714285714,0.6,0.00822787529245447
"det",1966,"NFL",4,9,1,"",206,317,-111,"Gilmer",14,10,9,12,13,11,15,0.285714285714286,-7.92857142857143,0.142857142857143,-0.916646540138763
"det",1965,"NFL",6,7,1,"",257,295,-38,"Gilmer",12,14,5,1,10,9,14,0.428571428571429,-2.71428571428571,0.307692307692308,-0.456792111752187
"det",1964,"NFL",7,5,2,"",280,260,20,"Wilson",9,9,3,5,6,7,14,0.5,1.42857142857143,0.615384615384615,0.201833479087994
"det",1963,"NFL",5,8,1,"",326,265,61,"Wilson",5,8,4,4,5,7,14,0.357142857142857,4.35714285714286,0.692307692307692,0.516113186936283
"det",1962,"NFL",11,3,0,"",315,177,138,"Wilson",5,8,2,1,2,2,14,0.785714285714286,9.85714285714286,0.923076923076923,1.24417886540131
"det",1961,"NFL",8,5,1,"",270,258,12,"Wilson",11,9,3,3,7,5,14,0.571428571428571,0.857142857142857,0.538461538461538,0.0919359337344863
"det",1960,"NFL",7,5,0,"",239,212,27,"Wilson",9,9,3,5,6,7,13,0.583333333333333,2.25,0.583333333333333,0.307288760605504
"det",1959,"NFL",3,8,1,"",203,275,-72,"Wilson",11,10,8,4,9,9,12,0.25,-6,0.272727272727273,-0.832171540283017
"det",1958,"NFL",4,7,1,"",261,276,-15,"Wilson",5,12,7,7,7,9,12,0.333333333333333,-1.25,0.454545454545455,-0.149839349364401
"det",1957,"NFL",8,4,0,"Won Champ",251,231,20,"Wilson",6,3,7,5,6,4,12,0.666666666666667,1.66666666666667,0.545454545454545,0.33319873476805
"det",1956,"NFL",9,3,0,"",300,188,112,"Parker",2,3,3,6,2,2,12,0.75,9.33333333333333,0.909090909090909,1.60047516520462
"det",1955,"NFL",3,9,0,"",230,275,-45,"Parker",8,4,9,10,10,7,12,0.25,-3.75,0.181818181818182,-0.734989480074344
"det",1954,"NFL",9,2,1,"Lost Conf",337,189,148,"Parker",1,3,3,4,2,4,12,0.75,12.3333333333333,0.909090909090909,1.17743833000591
"det",1953,"NFL",10,2,0,"Won Champ",271,205,66,"Parker",5,5,2,5,5,5,12,0.833333333333333,5.5,0.636363636363636,0.521752098462283
"det",1952,"NFL",9,3,0,"Won Champ",344,192,152,"Parker",2,3,1,4,1,2,12,0.75,12.6666666666667,1,2.01441718665058
"det",1951,"NFL",7,4,1,"",336,259,77,"Parker",2,3,5,7,4,4,12,0.583333333333333,6.41666666666667,0.727272727272727,0.764546684376351
"det",1950,"NFL",6,6,0,"",321,285,36,"McMillin",3,4,6,6,6,6,13,0.5,3,0.583333333333333,0.321369419410283
"det",1949,"NFL",4,8,0,"",237,259,-22,"McMillin",7,7,5,3,7,4,10,0.333333333333333,-1.83333333333333,0.333333333333333,-0.168638084933367
"det",1948,"NFL",2,10,0,"",200,407,-207,"McMillin",7,7,10,8,10,9,10,0.166666666666667,-17.25,0,-1.27183393788339
"det",1947,"NFL",3,9,0,"",231,305,-74,"Dorais",8,7,8,10,8,9,10,0.25,-6.16666666666667,0.222222222222222,-0.747857754048404
"det",1946,"NFL",1,10,0,"",142,310,-168,"Dorais",9,10,10,10,10,10,10,0.0909090909090909,-15.2727272727273,0,-1.51967733699037
"det",1945,"NFL",7,3,0,"",195,194,1,"Dorais",5,6,5,4,5,5,10,0.7,0.1,0.555555555555556,0.00975403466120529
"det",1944,"NFL",6,3,1,"",216,151,65,"Dorais",4,4,4,6,5,6,11,0.6,6.5,0.6,0.547077358933845
"det",1943,"NFL",3,6,1,"",178,218,-40,"Dorais",6,6,5,7,6,6,10,0.3,-4,0.444444444444444,-0.410510704658244
"det",1942,"NFL",0,11,0,"",38,263,-225,"Karcis,Edwards",10,10,10,9,10,9,10,0,-20.4545454545455,0,-1.47016350180029
"det",1941,"NFL",4,6,1,"",121,195,-74,"Edwards",7,10,6,10,7,10,10,0.363636363636364,-6.72727272727273,0.333333333333333,-0.51872663256026
"det",1940,"NFL",5,5,1,"",138,153,-15,"Clark",7,6,5,2,6,5,10,0.454545454545455,-1.36363636363636,0.444444444444444,-0.179521673414052
"det",1939,"NFL",6,5,0,"",145,150,-5,"Henderson",6,4,3,4,6,4,10,0.545454545454545,-0.454545454545455,0.444444444444444,-0.0440609873657979
"det",1938,"NFL",7,4,0,"",119,108,11,"Clark",8,5,2,4,4,5,10,0.636363636363636,1,0.666666666666667,0.146784140987997
"det",1937,"NFL",7,4,0,"",180,105,75,"Clark",4,3,2,2,3,3,10,0.636363636363636,6.81818181818182,0.777777777777778,0.883810169652043
"det",1936,"NFL",8,4,0,"",235,102,133,"Clark",2,1,2,2,1,1,9,0.666666666666667,11.0833333333333,1,1.1670652305652
"det",1935,"NFL",7,3,2,"Won Champ",191,111,80,"Clark",2,3,5,1,4,3,9,0.583333333333333,6.66666666666667,0.625,0.885290439240259
